GHS_Column,Pictogram_Code,Hazard_Meaning,Rank,Feature,Mean_Abs_SHAP,Mean_Signed_SHAP,Value_SHAP_Correlation,SHAP_Direction,What_The_Descriptor_Measures,Chemical_Interpretation,Matches_Chemical_Expectation
GHS03_Oxidising,GHS03,Oxidiser (flame over circle),1,Chi3n,0.952689,-0.900104,-0.1573,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,third-order connectivity index,"Oxidisers carry oxygen in a high formal oxidation state - peroxides, perchlorates, nitrates, chlorates, permanganates. A high oxygen-to-carbon ratio combined with low carbon content is the dominant signal.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS03_Oxidising,GHS03,Oxidiser (flame over circle),2,MACCS_102,0.77605,-0.539722,0.9764,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 102: matches SMARTS pattern [!#6;!#1]~[#8],"Oxidisers carry oxygen in a high formal oxidation state - peroxides, perchlorates, nitrates, chlorates, permanganates. A high oxygen-to-carbon ratio combined with low carbon content is the dominant signal.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS03_Oxidising,GHS03,Oxidiser (flame over circle),3,TPSA,0.611993,-0.58199,0.4994,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,topological polar surface area - the size of the polar region,"Oxidisers carry oxygen in a high formal oxidation state - peroxides, perchlorates, nitrates, chlorates, permanganates. A high oxygen-to-carbon ratio combined with low carbon content is the dominant signal.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS03_Oxidising,GHS03,Oxidiser (flame over circle),4,MACCS_124,0.455176,-0.396334,0.9402,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 124: matches SMARTS pattern [!#6;!#1]~[!#6;!#1],"Oxidisers carry oxygen in a high formal oxidation state - peroxides, perchlorates, nitrates, chlorates, permanganates. A high oxygen-to-carbon ratio combined with low carbon content is the dominant signal.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS03_Oxidising,GHS03,Oxidiser (flame over circle),5,Kappa3,0.446737,-0.442095,-0.0412,"non-monotonic - the descriptor matters, but its effect is not a simple increase or decrease",third-order shape index - centrality of branching,"Oxidisers carry oxygen in a high formal oxidation state - peroxides, perchlorates, nitrates, chlorates, permanganates. A high oxygen-to-carbon ratio combined with low carbon content is the dominant signal.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),1,Kappa2,1.79048,-1.78889,-0.0799,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,second-order shape index - how linear or star-like the skeleton is,"The compressed-gas pictogram is assigned on physical state rather than reactivity, so it is predicted almost entirely from molecular size. Very low molecular weight and very few heavy atoms are what a gas looks like to a descriptor calculation.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),2,Chi4n,1.539784,-1.39107,-0.1775,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,fourth-order connectivity index,"The compressed-gas pictogram is assigned on physical state rather than reactivity, so it is predicted almost entirely from molecular size. Very low molecular weight and very few heavy atoms are what a gas looks like to a descriptor calculation.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),3,LabuteASA,1.355818,-1.354701,-0.3604,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,approximate molecular surface area,"The compressed-gas pictogram is assigned on physical state rather than reactivity, so it is predicted almost entirely from molecular size. Very low molecular weight and very few heavy atoms are what a gas looks like to a descriptor calculation.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),4,MolWt,0.767101,-0.766134,-0.4523,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,average molecular mass,"The compressed-gas pictogram is assigned on physical state rather than reactivity, so it is predicted almost entirely from molecular size. Very low molecular weight and very few heavy atoms are what a gas looks like to a descriptor calculation.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),5,ExactMolWt,0.74815,-0.746992,-0.3195,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,monoisotopic molecular mass,"The compressed-gas pictogram is assigned on physical state rather than reactivity, so it is predicted almost entirely from molecular size. Very low molecular weight and very few heavy atoms are what a gas looks like to a descriptor calculation.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS05_Corrosive,GHS05,Corrosive (corrosion),1,BertzCT,0.345213,-0.102352,-0.6097,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,structural complexity,"Corrosivity is driven by extremes of pH and by strongly electrophilic groups: mineral acids, acid halides, anhydrides, quaternary hydroxides and amines. Ionisable groups and hydrogen-bond donors dominate.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS05_Corrosive,GHS05,Corrosive (corrosion),2,Morgan_514,0.235701,-0.120401,-0.9593,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,ECFP4 circular substructure bit 514; an example environment that sets it is Cl,"Corrosivity is driven by extremes of pH and by strongly electrophilic groups: mineral acids, acid halides, anhydrides, quaternary hydroxides and amines. Ionisable groups and hydrogen-bond donors dominate.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS05_Corrosive,GHS05,Corrosive (corrosion),3,MACCS_31,0.153432,-0.027762,0.9473,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,"MACCS substructure key 31: matches SMARTS pattern [!#6;!#1]~[F,Cl,Br,I]","Corrosivity is driven by extremes of pH and by strongly electrophilic groups: mineral acids, acid halides, anhydrides, quaternary hydroxides and amines. Ionisable groups and hydrogen-bond donors dominate.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS05_Corrosive,GHS05,Corrosive (corrosion),4,MACCS_154,0.12328,0.000308,-0.9171,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,MACCS substructure key 154: matches SMARTS pattern [#6]=[#8],"Corrosivity is driven by extremes of pH and by strongly electrophilic groups: mineral acids, acid halides, anhydrides, quaternary hydroxides and amines. Ionisable groups and hydrogen-bond donors dominate.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS05_Corrosive,GHS05,Corrosive (corrosion),5,MACCS_153,0.113646,-0.037132,0.9426,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 153: matches SMARTS pattern [!#6;!#1]~[CH2]~*,"Corrosivity is driven by extremes of pH and by strongly electrophilic groups: mineral acids, acid halides, anhydrides, quaternary hydroxides and amines. Ionisable groups and hydrogen-bond donors dominate.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),1,ExactMolWt,0.171272,-0.080114,0.5469,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,monoisotopic molecular mass,"Acute toxicity requires a molecule to reach a biological target quickly. Moderate lipophilicity aids membrane crossing, while specific toxicophores - organophosphates, cyanides, heavy-metal centres, alkaloid scaffolds - drive potency. Fingerprint bits usually outrank bulk properties for this class.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),2,MACCS_41,0.090883,-0.039571,0.9365,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 41: matches SMARTS pattern [#6]#[#7],"Acute toxicity requires a molecule to reach a biological target quickly. Moderate lipophilicity aids membrane crossing, while specific toxicophores - organophosphates, cyanides, heavy-metal centres, alkaloid scaffolds - drive potency. Fingerprint bits usually outrank bulk properties for this class.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),3,MACCS_164,0.077375,-0.012709,-0.8946,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,MACCS substructure key 164: matches SMARTS pattern [#8],"Acute toxicity requires a molecule to reach a biological target quickly. Moderate lipophilicity aids membrane crossing, while specific toxicophores - organophosphates, cyanides, heavy-metal centres, alkaloid scaffolds - drive potency. Fingerprint bits usually outrank bulk properties for this class.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),4,Chi3n,0.076763,-0.020702,-0.2543,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,third-order connectivity index,"Acute toxicity requires a molecule to reach a biological target quickly. Moderate lipophilicity aids membrane crossing, while specific toxicophores - organophosphates, cyanides, heavy-metal centres, alkaloid scaffolds - drive potency. Fingerprint bits usually outrank bulk properties for this class.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),5,Chi2n,0.067517,-0.018624,-0.2645,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,second-order connectivity index,"Acute toxicity requires a molecule to reach a biological target quickly. Moderate lipophilicity aids membrane crossing, while specific toxicophores - organophosphates, cyanides, heavy-metal centres, alkaloid scaffolds - drive potency. Fingerprint bits usually outrank bulk properties for this class.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),1,Chi1,0.164398,0.061072,-0.6473,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,first-order connectivity index - bond-level branching,"The exclamation-mark pictogram covers skin, eye and respiratory irritation and lower-grade acute toxicity. It is the commonest and most chemically diverse class, so the model relies on a broad mix of polarity, reactivity and substructure features rather than any single driver.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),2,MACCS_137,0.153679,0.058604,0.9644,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 137: matches SMARTS pattern [!C;!c;R],"The exclamation-mark pictogram covers skin, eye and respiratory irritation and lower-grade acute toxicity. It is the commonest and most chemically diverse class, so the model relies on a broad mix of polarity, reactivity and substructure features rather than any single driver.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),3,LabuteASA,0.13757,0.047797,-0.5737,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,approximate molecular surface area,"The exclamation-mark pictogram covers skin, eye and respiratory irritation and lower-grade acute toxicity. It is the commonest and most chemically diverse class, so the model relies on a broad mix of polarity, reactivity and substructure features rather than any single driver.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),4,BertzCT,0.11732,0.038474,-0.2757,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,structural complexity,"The exclamation-mark pictogram covers skin, eye and respiratory irritation and lower-grade acute toxicity. It is the commonest and most chemically diverse class, so the model relies on a broad mix of polarity, reactivity and substructure features rather than any single driver.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),5,MolLogP,0.115468,0.020777,-0.4299,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,lipophilicity - how strongly the compound prefers oil to water,"The exclamation-mark pictogram covers skin, eye and respiratory irritation and lower-grade acute toxicity. It is the commonest and most chemically diverse class, so the model relies on a broad mix of polarity, reactivity and substructure features rather than any single driver.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),1,Chi4n,0.175769,-0.100279,0.4837,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,fourth-order connectivity index,"The health-hazard pictogram flags carcinogenicity, mutagenicity, reproductive toxicity, respiratory sensitisation and aspiration hazard. Planar aromatic systems capable of DNA intercalation, aromatic amines and halogenated aromatics are the classic structural alerts, so aromatic ring count and low sp3 fraction matter.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),2,TPSA,0.140887,-0.071943,0.401,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,topological polar surface area - the size of the polar region,"The health-hazard pictogram flags carcinogenicity, mutagenicity, reproductive toxicity, respiratory sensitisation and aspiration hazard. Planar aromatic systems capable of DNA intercalation, aromatic amines and halogenated aromatics are the classic structural alerts, so aromatic ring count and low sp3 fraction matter.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),3,NumHDonors,0.121378,-0.03439,-0.3268,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,"number of hydrogen-bond donors (OH, NH groups)","The health-hazard pictogram flags carcinogenicity, mutagenicity, reproductive toxicity, respiratory sensitisation and aspiration hazard. Planar aromatic systems capable of DNA intercalation, aromatic amines and halogenated aromatics are the classic structural alerts, so aromatic ring count and low sp3 fraction matter.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),4,MACCS_121,0.118889,-0.027694,-0.934,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,MACCS substructure key 121: matches SMARTS pattern [#7;R],"The health-hazard pictogram flags carcinogenicity, mutagenicity, reproductive toxicity, respiratory sensitisation and aspiration hazard. Planar aromatic systems capable of DNA intercalation, aromatic amines and halogenated aromatics are the classic structural alerts, so aromatic ring count and low sp3 fraction matter.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),5,MACCS_119,0.115361,-0.065893,0.8866,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 119: matches SMARTS pattern [#7]=*,"The health-hazard pictogram flags carcinogenicity, mutagenicity, reproductive toxicity, respiratory sensitisation and aspiration hazard. Planar aromatic systems capable of DNA intercalation, aromatic amines and halogenated aromatics are the classic structural alerts, so aromatic ring count and low sp3 fraction matter.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS09_Environmental,GHS09,Environmental hazard (environment),1,MolLogP,0.378431,-0.133164,0.4503,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,lipophilicity - how strongly the compound prefers oil to water,"The environmental pictogram is assigned on aquatic toxicity and persistence. High lipophilicity drives bioaccumulation, and halogenated aromatics resist degradation, so LogP together with halogen-bearing fingerprint bits are the strongest predictors.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS09_Environmental,GHS09,Environmental hazard (environment),2,MACCS_137,0.358769,-0.145773,-0.9574,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,MACCS substructure key 137: matches SMARTS pattern [!C;!c;R],"The environmental pictogram is assigned on aquatic toxicity and persistence. High lipophilicity drives bioaccumulation, and halogenated aromatics resist degradation, so LogP together with halogen-bearing fingerprint bits are the strongest predictors.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS09_Environmental,GHS09,Environmental hazard (environment),3,Chi1,0.30195,-0.145785,0.5998,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,first-order connectivity index - bond-level branching,"The environmental pictogram is assigned on aquatic toxicity and persistence. High lipophilicity drives bioaccumulation, and halogenated aromatics resist degradation, so LogP together with halogen-bearing fingerprint bits are the strongest predictors.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS09_Environmental,GHS09,Environmental hazard (environment),4,LabuteASA,0.25488,-0.145089,0.5352,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,approximate molecular surface area,"The environmental pictogram is assigned on aquatic toxicity and persistence. High lipophilicity drives bioaccumulation, and halogenated aromatics resist degradation, so LogP together with halogen-bearing fingerprint bits are the strongest predictors.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS09_Environmental,GHS09,Environmental hazard (environment),5,MACCS_65,0.129309,-0.055423,-0.8542,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,MACCS substructure key 65: matches SMARTS pattern c:n,"The environmental pictogram is assigned on aquatic toxicity and persistence. High lipophilicity drives bioaccumulation, and halogenated aromatics resist degradation, so LogP together with halogen-bearing fingerprint bits are the strongest predictors.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
